x,y,obs
128,166,23.56
130,223,10.67
127,238,5.18
129,239,22.25
127,249,0.77
130,270,3.05
130,270,2.13
127,305,53.34
131,303,12.15
131,303,8.23
130,309,9.45
128,309,12.8
129,323,4.57
129,326,5.12
128,329,9.14
131,343,9.45
129,342,6.1
128,356,10.94
128,364,11.27
128,166,18.29
131,214,17.98
130,223,12.19
131,230,15.24
131,234,51.82
129,238,8.84
128,249,39.62
131,299,3.66
131,301,3.69
130,302,15.24
130,302,31.55
131,302,6.1
132,307,9.02
131,320,6.1
130,343,4.57
128,348,2.74
130,350,10.67
129,351,2.4
128,355,9.57
131,359,14.71
131,358,15.85
131,366,30.53
130,364,25.76
131,122,1.52
129,131,13.11
129,166,30.48
133,191,0.0
129,215,5.49
130,217,27.43
130,222,9.14
130,223,10.97
131,230,9.14
131,279,5.27
130,282,6.0
133,295,3.05
130,300,1.63
133,296,7.32
130,302,13.72
131,323,2.99
131,320,3.05
131,339,4.57
131,339,4.57
131,353,3.32
132,350,14.01
133,353,5.17
130,358,10.37
130,358,9.9
133,358,12.19
131,364,33.35
129,366,9.14
131,122,1.52
131,122,2.44
131,122,0.91
131,129,13.72
130,156,8.53
132,225,21.34
134,228,7.62
131,277,18.29
134,293,2.13
134,317,4.57
134,317,1.52
131,319,17.68
130,326,3.66
133,326,10.67
131,340,1.83
131,349,8.56
130,350,9.99
131,355,0.81
132,358,4.72
130,366,17.62
130,365,22.89
134,124,7.01
135,208,6.1
134,215,4.57
133,218,21.34
135,235,64.01
134,236,42.67
131,248,3.05
135,249,11.51
134,295,5.49
133,298,15.24
132,299,11.77
131,303,10.97
131,303,11.89
131,323,4.57
132,321,6.98
135,327,12.19
133,334,4.34
135,336,14.02
132,340,3.66
135,351,5.18
133,352,1.44
133,348,9.94
132,354,11.95
133,355,14.98
133,355,16.0
131,358,15.85
131,359,14.99
132,359,17.57
131,365,32.61
132,141,39.62
135,186,13.72
136,189,4.27
132,219,22.86
134,219,12.8
135,224,15.85
134,228,9.14
133,236,23.16
132,236,12.34
134,293,1.83
133,293,0.95
135,312,9.02
133,326,5.64
133,333,6.45
133,334,2.44
133,340,13.72
132,350,12.11
132,358,5.73
132,357,7.89
132,359,17.72
136,106,2.35
135,128,3.96
135,128,5.49
