,x_loc,y_loc
1064,21.0,146.0
1065,21.0,146.0
1066,21.0,146.0
1067,21.0,146.0
1068,21.0,146.0
1069,21.0,146.0
1070,21.0,146.0
1071,21.0,146.0
1072,21.0,147.0
1073,21.0,147.0
1074,21.0,147.0
1075,21.0,147.0
1076,21.0,147.0
1077,21.0,147.0
1078,21.0,147.0
1079,21.0,147.0
1080,21.0,147.0
1081,21.0,147.0
1082,21.0,147.0
1083,21.0,148.0
1084,21.0,148.0
1085,21.0,148.0
1086,21.0,148.0
1087,21.0,148.0
1088,21.0,148.0
1089,21.0,148.0
1090,21.0,148.0
1091,21.0,148.0
1092,21.0,148.0
1093,21.0,148.0
1094,21.0,149.0
1095,21.0,149.0
1096,21.0,149.0
1097,21.0,149.0
1098,21.0,149.0
1099,21.0,149.0
1100,21.0,149.0
1101,21.0,149.0
1102,21.0,149.0
1103,21.0,149.0
1104,21.0,149.0
1105,21.0,150.0
1106,21.0,150.0
1107,21.0,150.0
1108,21.0,150.0
1109,21.0,150.0
1110,21.0,150.0
1111,21.0,150.0
1112,21.0,150.0
1113,21.0,150.0
1114,21.0,150.0
1115,21.0,150.0
1116,21.0,151.0
1117,20.0,151.0
1118,20.0,151.0
1119,20.0,151.0
1120,20.0,151.0
1121,20.0,151.0
1122,20.0,151.0
1123,20.0,151.0
1124,20.0,151.0
1125,20.0,151.0
1126,20.0,151.0
1127,20.0,152.0
1128,20.0,152.0
1129,20.0,152.0
1130,20.0,152.0
1131,20.0,152.0
1132,20.0,152.0
1133,20.0,152.0
1134,20.0,152.0
1135,20.0,152.0
1136,20.0,152.0
1137,20.0,152.0
1138,20.0,153.0
1139,20.0,153.0
1140,20.0,153.0
1141,20.0,153.0
1142,20.0,153.0
1143,20.0,153.0
1144,20.0,153.0
1145,20.0,153.0
1146,20.0,153.0
1147,20.0,153.0
1148,20.0,153.0
1149,20.0,154.0
1150,20.0,154.0
1151,20.0,154.0
1152,20.0,154.0
1153,20.0,154.0
1154,20.0,154.0
1155,20.0,154.0
1156,20.0,154.0
1157,20.0,154.0
1158,20.0,154.0
1159,20.0,154.0
1160,20.0,155.0
1161,20.0,155.0
1162,20.0,155.0
1163,20.0,155.0
1164,20.0,155.0
1165,20.0,155.0
1166,20.0,155.0
1167,20.0,155.0
1168,20.0,155.0
1169,19.0,155.0
1170,19.0,156.0
1171,19.0,156.0
1172,19.0,156.0
1173,19.0,156.0
1174,19.0,156.0
1175,19.0,156.0
1176,19.0,156.0
1177,19.0,156.0
1178,19.0,156.0
1179,19.0,156.0
1180,19.0,156.0
1181,19.0,157.0
1182,19.0,157.0
1183,19.0,157.0
1184,19.0,157.0
1185,19.0,157.0
1186,19.0,157.0
1187,19.0,157.0
1188,19.0,157.0
1189,19.0,157.0
1190,19.0,157.0
1191,19.0,157.0
1192,19.0,158.0
1193,19.0,158.0
1194,19.0,158.0
1195,19.0,158.0
1196,19.0,158.0
1197,19.0,158.0
1198,19.0,158.0
1199,19.0,158.0
1200,19.0,158.0
1201,19.0,158.0
1202,19.0,158.0
1203,19.0,159.0
1204,19.0,159.0
1205,19.0,159.0
1206,19.0,159.0
1207,19.0,159.0
1208,19.0,159.0
